MW365527.2,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
LC581478.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' environmental samples', 'uncultured Rhodobacteraceae bacterium'
MN822801.2,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Alteromonadales', ' Colwelliaceae', ' Thalassotalea', 'Thalassotalea sp.'
MW714780.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Chromatiales', ' Chromatiaceae', ' Rheinheimera', 'Rheinheimera sp.'
MW714776.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Thiotrichales', ' Piscirickettsiaceae', ' Thiomicrorhabdus', ' unclassified Thiomicrorhabdus', 'Thiomicrorhabdus sp.'
MW714648.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp. 20GA0148'
MW714647.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp. 20GA0080'
MW714646.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp. 20GA0068'
MW714645.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Moraxellaceae', ' Acinetobacter', ' Acinetobacter calcoaceticus/baumannii complex', 'Acinetobacter calcoaceticus'
MW713927.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Citrobacter', ' unclassified Citrobacter', 'Citrobacter sp.'
MW713800.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Yersiniaceae', ' Serratia', 'Serratia marcescens'
MW713799.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Moraxellaceae', ' Acinetobacter', ' Acinetobacter calcoaceticus/baumannii complex', 'Acinetobacter baumannii'
MW713798.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Citrobacter', 'Citrobacter farmeri'
MW713441.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Klebsiella', 'Klebsiella sp.'
MW713177.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Escherichia', 'Escherichia coli'
MW713142.1,'Bacteria', ' Proteobacteria', ' Acidithiobacillia', ' Acidithiobacillales', ' Acidithiobacillaceae', ' Acidithiobacillus', 'Acidithiobacillus sp.'
MW713141.1,'Bacteria', ' Proteobacteria', ' Acidithiobacillia', ' Acidithiobacillales', ' Acidithiobacillaceae', ' Acidithiobacillus', 'Acidithiobacillus ferrooxidans'
MW713068.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', 'Stenotrophomonas rhizophila'
MW712743.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Thiotrichales', ' Piscirickettsiaceae', ' Thiomicrorhabdus', 'Thiomicrorhabdus sediminis'
MW712714.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW712712.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW712711.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW712537.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', 'Pantoea dispersa'
MW711858.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Oceanospirillales', ' Alcanivoracaceae', ' Alcanivorax', 'Alcanivorax dieselolei'
MW711739.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', 'Pantoea dispersa'
MW711720.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas stutzeri'
MW711714.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' unclassified Pantoea', 'Pantoea sp.'
MW711713.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' unclassified Pantoea', 'Pantoea sp.'
MW711709.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', 'Enterobacteriaceae bacterium'
MW711708.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' Pantoea agglomerans group', 'Pantoea agglomerans'
MW711707.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Pantoea', ' Pantoea agglomerans group', 'Pantoea agglomerans'
MW711705.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW711703.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW711702.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW711701.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Rhizobiaceae', ' Rhizobium/Agrobacterium group', ' Rhizobium', 'Rhizobium sp.'
MW711700.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas marginalis'
MW711699.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Raoultella', 'Raoultella terrigena'
MW711696.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Enterobacteriaceae', ' Raoultella', 'Raoultella terrigena'
MW711692.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', ' Erwiniaceae', ' Erwinia', 'Erwinia rhapontici'
MW711691.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', 'Enterobacterales bacterium'
MW711690.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW711689.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Enterobacterales', 'Enterobacterales bacterium'
MW711688.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW711687.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas pseudosanguinis'
MW711686.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW711683.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas graminis'
MW711682.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas oryzihabitans'
MW711681.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhizobiales', ' Methylobacteriaceae', ' Methylobacterium', 'Methylobacterium fujisawaense'
MW711678.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', 'Stenotrophomonas rhizophila'
MW711451.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW711450.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW711448.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas kyungheensis'
MW711447.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas helmanticensis'
MW711444.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas kyungheensis'
MW711439.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas phyllosphaerae'
MW711438.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas endophytica'
MW711434.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sanguinis'
MW711433.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas graminis'
MW711430.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas ginsenosidimutans'
MW711427.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
MW711426.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Lysobacter', ' unclassified Lysobacter', 'Lysobacter sp.'
MW711424.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW711423.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Caulobacterales', ' Caulobacteraceae', ' Caulobacter', ' unclassified Caulobacter', 'Caulobacter sp.'
MW711422.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Novosphingobium', ' unclassified Novosphingobium', 'Novosphingobium sp.'
MW711421.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas carotinifaciens'
MW711420.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas panacis'
MW711418.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Rhodobacterales', ' Rhodobacteraceae', ' Falsirhodobacter', 'Falsirhodobacter halotolerans'
MW711417.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Xanthomonadales', ' Xanthomonadaceae', ' Stenotrophomonas', 'Stenotrophomonas rhizophila'
MW711411.1,'Bacteria', ' Proteobacteria', ' Gammaproteobacteria', ' Pseudomonadales', ' Pseudomonadaceae', ' Pseudomonas', 'Pseudomonas sp.'
MW711410.1,'Bacteria', ' Proteobacteria', ' Alphaproteobacteria', ' Sphingomonadales', ' Sphingomonadaceae', ' Sphingomonas', 'Sphingomonas sp.'
