,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MW365527.2,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
LC581478.1,uncultured Rhodobacteraceae bacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,environmental samples,,,,,,,,,,,,,
MN822801.2,Thalassotalea sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,,,,,,,,,,,,,
MW714780.1,Rheinheimera sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,,,,,,,,,,,,,
MW714776.1,Thiomicrorhabdus sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,unclassified Thiomicrorhabdus,,,,,,,,,,,,
MW714648.1,Pseudomonas sp. 20GA0148,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW714647.1,Pseudomonas sp. 20GA0080,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW714646.1,Pseudomonas sp. 20GA0068,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW714645.1,Acinetobacter calcoaceticus,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,
MW713927.1,Citrobacter sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,unclassified Citrobacter,,,,,,,,,,,,
MW713800.1,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,,,,,,,,,,,,,
MW713799.1,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,
MW713798.1,Citrobacter farmeri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,,,,,,,,,,
MW713441.1,Klebsiella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,,,,,,,,,,,,,
MW713177.1,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,,,,,,,,,,,,
MW713142.1,Acidithiobacillus sp.,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,,,,,,,,,,,,
MW713141.1,Acidithiobacillus ferrooxidans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,,,,,,,,,,,,
MW713068.1,Stenotrophomonas rhizophila,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW712743.1,Thiomicrorhabdus sediminis,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,,,,,,,,,,,,,
MW712714.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW712712.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW712711.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW712537.1,Pantoea dispersa,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,,,,,,,,,,,,,
MW711858.1,Alcanivorax dieselolei,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,,,,,,,,,,,,
MW711739.1,Pantoea dispersa,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,,,,,,,,,,,,,
MW711720.1,Pseudomonas stutzeri,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711714.1,Pantoea sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,unclassified Pantoea,,,,,,,,,,,,
MW711713.1,Pantoea sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,unclassified Pantoea,,,,,,,,,,,,
MW711709.1,Enterobacteriaceae bacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,,,,,,,,,,,
MW711708.1,Pantoea agglomerans,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans group,,,,,,,,,,,,
MW711707.1,Pantoea agglomerans,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans group,,,,,,,,,,,,
MW711705.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711703.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711702.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711701.1,Rhizobium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium,,,,,,,,,,,,
MW711700.1,Pseudomonas marginalis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711699.1,Raoultella terrigena,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,,,,,,,,,,,,,
MW711696.1,Raoultella terrigena,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,,,,,,,,,,,,,
MW711692.1,Erwinia rhapontici,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,,,,,,,,,,,,,
MW711691.1,Enterobacterales bacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,,,,,,,,,,,,
MW711690.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711689.1,Enterobacterales bacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,,,,,,,,,,,,
MW711688.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711687.1,Sphingomonas pseudosanguinis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711686.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711683.1,Pseudomonas graminis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711682.1,Pseudomonas oryzihabitans,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711681.1,Methylobacterium fujisawaense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,,,,,,,,,,,,,
MW711678.1,Stenotrophomonas rhizophila,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW711451.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711450.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711448.1,Sphingomonas kyungheensis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711447.1,Pseudomonas helmanticensis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711444.1,Sphingomonas kyungheensis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711439.1,Sphingomonas phyllosphaerae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711438.1,Sphingomonas endophytica,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711434.1,Sphingomonas sanguinis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711433.1,Pseudomonas graminis,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711430.1,Sphingomonas ginsenosidimutans,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711427.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711426.1,Lysobacter sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,unclassified Lysobacter,,,,,,,,,,,,
MW711424.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711423.1,Caulobacter sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,unclassified Caulobacter,,,,,,,,,,,,
MW711422.1,Novosphingobium sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,unclassified Novosphingobium,,,,,,,,,,,,
MW711421.1,Sphingomonas carotinifaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711420.1,Sphingomonas panacis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711418.1,Falsirhodobacter halotolerans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Falsirhodobacter,,,,,,,,,,,,,
MW711417.1,Stenotrophomonas rhizophila,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW711411.1,Pseudomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,
MW711410.1,Sphingomonas sp.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,,,,,,,,,,,
MW711409.1,Stenotrophomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW711408.1,Enterobacteriaceae bacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,,,,,,,,,,,,
MW711407.1,Stenotrophomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW711405.1,Stenotrophomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW711396.1,Stenotrophomonas maltophilia,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia group,,,,,,,,,,,,
MW709915.1,Alcanivorax dieselolei,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,,,,,,,,,,,,
MW709911.1,Marinobacter alkaliphilus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,,,,,,,,,,,,
MW709883.1,Stenotrophomonas sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,,,,,,,,,,,,
MW709645.1,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,,,,,,,,,,,,,
MW709644.1,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,,,,,,,,,,,,
MW709643.1,Providencia vermicola,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,,,,,,,,,,,,,
MW709642.1,Providencia vermicola,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,,,,,,,,,,,,,
MW709641.1,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,,,,,,,,,,,,
MW709640.1,Alcaligenes faecalis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,,,,,,,,,,,,,
MW709639.1,Alcaligenes faecalis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,,,,,,,,,,,,,
