Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
F3D0_S188_L001_R1_001	94.5335557551649	54.0	250.98344668292057	36.36363636363637	7793.0	
F3D141_S207_L001_R1_001	94.9983215844243	54.0	250.98136958710978	36.36363636363637	5958.0	
F3D142_S208_L001_R1_001	92.52277725416275	54.0	250.99340245051837	36.36363636363637	3183.0	
F3D143_S209_L001_R1_001	93.2662051604783	54.0	250.98300818124608	36.36363636363637	3178.0	
F3D144_S210_L001_R1_001	94.15786202610317	54.0	250.99274911953594	36.36363636363637	4827.0	
F3D145_S211_L001_R1_001	95.36396909312728	54.0	250.99132438660703	36.36363636363637	7377.0	
F3D146_S212_L001_R1_001	94.28400716988648	54.0	250.98625771758614	36.36363636363637	5021.0	
F3D147_S213_L001_R1_001	96.47334504979496	54.0	250.99062683069712	36.36363636363637	17070.0	
F3D148_S214_L001_R1_001	95.8403869407497	54.0	250.98952035469569	36.36363636363637	12405.0	
F3D149_S215_L001_R1_001	96.140029045326	54.0	250.97989757700833	36.36363636363637	13083.0	
F3D150_S216_L001_R1_001	91.95969972342948	54.0	228.2718293164757	36.36363636363637	5062.0	5.526432272455064
F3D1_S189_L001_R1_001	93.76384392571137	54.0	250.98381325609134	36.36363636363637	5869.0	
F3D2_S190_L001_R1_001	96.55453618756371	53.0	250.99092762487257	36.36363636363637	19620.0	
F3D3_S191_L001_R1_001	95.08730393607576	53.0	250.9921574430305	36.36363636363637	6758.0	
F3D5_S193_L001_R1_001	94.13219424460432	54.0	250.9894334532374	36.36363636363637	4448.0	
F3D6_S194_L001_R1_001	95.03066716735512	53.0	250.99148829640757	36.36363636363637	7989.0	
F3D7_S195_L001_R1_001	94.73581594852797	53.0	250.99278611815168	36.36363636363637	5129.0	
F3D8_S196_L001_R1_001	93.74763883641859	53.0	250.98734416320363	36.36363636363637	5294.0	
F3D9_S197_L001_R1_001	94.8939179632249	53.0	250.9882602545969	36.36363636363637	7070.0	
