Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
F3D0_S188_L001_R1_001	95.54267439536278	54.0	240.97141714971016	36.36363636363637	5003.0
F3D141_S207_L001_R1_001	95.93662151801686	54.0	242.12011244569385	36.36363636363637	3913.0
F3D142_S208_L001_R1_001	93.24699352451434	54.0	242.29139685476412	36.36363636363637	2162.0
F3D143_S209_L001_R1_001	93.61296472831268	54.0	241.88655862726407	36.36363636363637	2098.0
F3D144_S210_L001_R1_001	95.09545753785385	54.0	242.32521395655036	36.36363636363637	3038.0
F3D145_S211_L001_R1_001	96.01471489883507	54.0	242.33476394849785	36.36363636363637	4893.0
F3D146_S212_L001_R1_001	94.83952171176841	54.0	241.59723096286973	36.36363636363637	3178.0
F3D147_S213_L001_R1_001	97.28502837189001	54.0	243.06119598428634	36.36363636363637	11455.0
F3D148_S214_L001_R1_001	96.48972602739725	54.0	242.78913894324853	36.36363636363637	8176.0
F3D149_S215_L001_R1_001	96.83477028463446	54.0	242.49061060588167	36.36363636363637	8467.0
F3D150_S216_L001_R1_001	94.85981308411215	54.0	241.92798240791643	36.36363636363637	3638.0
F3D1_S189_L001_R1_001	94.86347661530144	54.0	240.45904298459044	36.36363636363637	3699.0
F3D2_S190_L001_R1_001	97.31018553013934	53.0	242.15125549511959	36.36363636363637	13421.0
F3D3_S191_L001_R1_001	96.05233976491462	53.0	243.09425593257927	36.36363636363637	4509.0
F3D5_S193_L001_R1_001	95.29944289693593	54.0	241.36350974930363	36.36363636363637	2872.0
F3D6_S194_L001_R1_001	95.98890942698706	53.0	241.71645101663586	36.36363636363637	5410.0
F3D7_S195_L001_R1_001	95.43683917640512	53.0	242.82971619365608	36.36363636363637	3594.0
F3D8_S196_L001_R1_001	94.22413793103448	53.0	240.91206896551725	36.36363636363637	3480.0
F3D9_S197_L001_R1_001	95.4384503228494	53.0	241.26848573213914	36.36363636363637	4801.0
