Module	Section	Sample Name	Source
FastQC	all_sections	F3D0_S188_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D0_S188_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D141_S207_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D141_S207_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D142_S208_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D142_S208_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D143_S209_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D143_S209_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D144_S210_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D144_S210_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D145_S211_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D145_S211_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D146_S212_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D146_S212_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D147_S213_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D147_S213_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D148_S214_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D148_S214_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D149_S215_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D149_S215_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D150_S216_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D150_S216_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D1_S189_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D1_S189_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D2_S190_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D2_S190_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D3_S191_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D3_S191_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D5_S193_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D5_S193_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D6_S194_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D6_S194_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D7_S195_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D7_S195_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D8_S196_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D8_S196_L001_R1_001_fastqc.zip
FastQC	all_sections	F3D9_S197_L001_R1_001	/home/luis/Documents/desafio_neoprospecta/git_repository/DesafioNeoprospecta/FrenteIV/trimmed_SW530_ML180/F3D9_S197_L001_R1_001_fastqc.zip
